millis,stamp,datetime,degree,distance
209010,1694973583,2023/9/17 17:59,112,17
210008,1694973584,2023/9/17 17:59,165,18
211009,1694973585,2023/9/17 17:59,151,17
212005,1694973586,2023/9/17 17:59,98,18
212038,1694973586,2023/9/17 17:59,97,0
213017,1694973587,2023/9/17 17:59,47,40
214003,1694973588,2023/9/17 17:59,0,22
214037,1694973588,2023/9/17 17:59,1,21
215014,1694973589,2023/9/17 17:59,50,26
216011,1694973590,2023/9/17 17:59,102,17
217007,1694973591,2023/9/17 17:59,155,17
217039,1694973591,2023/9/17 17:59,156,0
218007,1694973592,2023/9/17 17:59,162,18
219005,1694973593,2023/9/17 17:59,109,17
219039,1694973593,2023/9/17 17:59,108,16
220016,1694973594,2023/9/17 17:59,57,27
221017,1694973595,2023/9/17 17:59,11,21
222019,1694973596,2023/9/17 17:59,37,40
223015,1694973597,2023/9/17 17:59,88,25
224014,1694973598,2023/9/17 17:59,141,16
225001,1694973599,2023/9/17 17:59,176,39
226012,1694973600,2023/9/17 18:00,123,16
227017,1694973601,2023/9/17 18:00,70,24
228014,1694973602,2023/9/17 18:00,23,23
229015,1694973603,2023/9/17 18:00,29,65
230009,1694973604,2023/9/17 18:00,79,24
231014,1694973605,2023/9/17 18:00,132,16
232002,1694973606,2023/9/17 18:00,180,38
233013,1694973607,2023/9/17 18:00,135,16
234017,1694973608,2023/9/17 18:00,82,24
235011,1694973609,2023/9/17 18:00,35,64
236005,1694973610,2023/9/17 18:00,17,20
236039,1694973610,2023/9/17 18:00,18,21
237005,1694973611,2023/9/17 18:00,66,24
237039,1694973611,2023/9/17 18:00,67,24
238012,1694973612,2023/9/17 18:00,118,16
239009,1694973613,2023/9/17 18:00,171,20
240011,1694973614,2023/9/17 18:00,148,17
241010,1694973615,2023/9/17 18:00,95,25
242002,1694973616,2023/9/17 18:00,44,40
243018,1694973617,2023/9/17 18:00,8,21
244014,1694973618,2023/9/17 18:00,57,24
245007,1694973619,2023/9/17 18:00,109,0
246004,1694973620,2023/9/17 18:00,162,18
246038,1694973620,2023/9/17 18:00,163,17
247003,1694973621,2023/9/17 18:00,156,17
247035,1694973621,2023/9/17 18:00,155,17
248013,1694973622,2023/9/17 18:00,103,18
249005,1694973623,2023/9/17 18:00,53,39
250014,1694973624,2023/9/17 18:00,2,21
251033,1694973625,2023/9/17 18:00,42,1189
252018,1694973626,2023/9/17 18:00,93,24
253016,1694973627,2023/9/17 18:00,146,16
254007,1694973628,2023/9/17 18:00,174,39
255013,1694973629,2023/9/17 18:00,121,16
256003,1694973630,2023/9/17 18:00,69,24
256036,1694973630,2023/9/17 18:00,68,24
257001,1694973631,2023/9/17 18:00,24,23
257039,1694973631,2023/9/17 18:00,23,22
258006,1694973632,2023/9/17 18:00,27,40
259013,1694973633,2023/9/17 18:00,78,23
260018,1694973634,2023/9/17 18:00,131,16
261036,1694973635,2023/9/17 18:00,179,1190
262013,1694973636,2023/9/17 18:00,133,16
263019,1694973637,2023/9/17 18:00,80,24
264006,1694973638,2023/9/17 18:00,30,39
